States,Wind Power,Biomass,Solar Energy,Waste to Energy
Andhra pradesh,44229,578,38440,123
Arunachal pradesh,0,8,8650,0
Assam,0,212,13760,8
Bihar,0,619,11200,73
Chhattisgarh,77,236,18270,24
Delhi,0,0,2050,131
Goa,1,26,880,0
Gujarat,84431,1221,35770,112
Himachal pradesh,0,142,33840,2
Haryana,0,1333,4560,24
Jharkhand,0,90,18180,10
Jammu & Kashmir,0,43,111050,0
Karnataka,55857,1131,24700,0
Kerala,1700,1044,6110,36
Maharashtra,45394,1887,64320,287
Manipur,0,13,10630,2
Meghalaya,0,11,5860,2
Mizoram,0,1,9090,2
Madhya pradesh,10484,1364,61660,78
Nagaland,0,10,7290,0
Rajasthan,18770,1039,142310,62
Sikkim,0,2,4940,0
Tripura,0,3,2080,2
Telangana,4244,0,20410,0
Uttar pradesh,0,1617,22830,176
West Bengal,2,396,6260,148
Punjab,0,3172,2810,45
Odisha,3093,246,25780,22
Tamil Nadu,33800,1070,17670,151
Uttarakhand,0,24,16800,5
